time,missing_time
00:00,21
00:15,21
00:30,21
00:45,21
01:00,23
01:15,23
01:30,21
01:45,22
02:00,27
02:15,31
02:30,30
02:45,36
03:00,36
03:15,35
03:30,33
03:45,37
04:00,36
04:15,36
04:30,37
04:45,36
05:00,37
05:15,36
05:30,38
05:45,34
06:00,36
06:15,38
06:30,37
06:45,38
07:00,40
07:15,39
07:30,37
07:45,40
08:00,37
08:15,40
08:30,39
08:45,39
09:00,38
09:15,39
09:30,37
09:45,38
10:00,36
10:15,36
10:30,35
10:45,33
11:00,38
11:15,37
11:30,36
11:45,36
12:00,36
12:15,37
12:30,37
12:45,36
13:00,36
13:15,35
13:30,39
13:45,41
14:00,43
14:15,42
14:30,44
14:45,45
15:00,44
15:15,45
15:30,43
15:45,40
16:00,40
16:15,38
16:30,38
16:45,37
17:00,37
17:15,36
17:30,28
17:45,23
18:00,24
18:15,21
18:30,20
18:45,20
19:00,19
19:15,20
19:30,18
19:45,18
20:00,18
20:15,18
20:30,18
20:45,21
21:00,22
21:15,21
21:30,21
21:45,21
22:00,22
22:15,22
22:30,23
22:45,22
23:00,21
23:15,21
23:30,21
23:45,21
