timestamp,power_value
2025-07-07 13:51:26.904000+00:00,63.0
2025-07-07 13:51:28.530000+00:00,63.0
2025-07-07 14:06:18.857000+00:00,41.0
2025-07-07 14:06:36.370000+00:00,41.0
2025-07-07 14:06:37.965000+00:00,41.0
2025-07-07 14:21:18.015000+00:00,41.0
2025-07-07 14:21:20.773000+00:00,41.0
2025-07-07 14:21:41.937000+00:00,41.0
2025-07-07 14:51:12.442000+00:00,41.0
2025-07-07 14:51:12.448000+00:00,41.0
2025-07-07 15:06:30.200000+00:00,13.0
2025-07-07 15:21:24.151000+00:00,4.0
2025-07-07 15:51:27.306000+00:00,15.0
2025-07-07 15:51:30.147000+00:00,15.0
2025-07-07 16:06:31.924000+00:00,39.0
2025-07-07 16:06:33.846000+00:00,39.0
2025-07-07 16:21:12.458000+00:00,36.0
2025-07-07 16:21:31.662000+00:00,36.0
2025-07-07 16:36:12.319000+00:00,1.0
2025-07-07 16:36:27.766000+00:00,1.0
2025-07-07 16:51:12.486000+00:00,1.0
2025-07-07 16:51:19.621000+00:00,1.0
2025-07-07 17:06:12.182000+00:00,2.0
2025-07-07 17:06:12.650000+00:00,2.0
2025-07-07 17:21:12.146000+00:00,0.0
2025-07-07 17:36:40.265000+00:00,0.0
2025-07-07 17:51:16.286000+00:00,1.0
2025-07-07 17:51:26.180000+00:00,1.0
2025-07-07 18:06:11.985000+00:00,2.0
2025-07-07 18:06:28.390000+00:00,2.0
2025-07-07 18:21:13.030000+00:00,1.0
2025-07-07 18:21:24.628000+00:00,1.0
2025-07-07 18:36:23.849000+00:00,1.0
2025-07-07 18:36:31.280000+00:00,1.0
2025-07-07 18:51:16.389000+00:00,1.0
2025-07-07 18:51:25.137000+00:00,1.0
2025-07-07 19:06:16.193000+00:00,1.0
2025-07-07 19:06:32.810000+00:00,1.0
2025-07-07 19:21:23.737000+00:00,0.0
2025-07-07 19:21:34.669000+00:00,0.0
2025-07-07 19:21:35.026000+00:00,0.0
2025-07-07 19:36:12.014000+00:00,1.0
2025-07-07 19:36:36.940000+00:00,1.0
2025-07-07 19:36:38.726000+00:00,1.0
2025-07-07 19:51:12.136000+00:00,0.0
2025-07-07 19:51:17.219000+00:00,0.0
2025-07-07 19:51:39.013000+00:00,0.0
2025-07-07 20:06:11.997000+00:00,0.0
2025-07-07 20:06:18.131000+00:00,0.0
2025-07-07 20:06:22.799000+00:00,0.0
2025-07-07 20:21:19.032000+00:00,1.0
2025-07-07 20:21:23.700000+00:00,1.0
2025-07-07 20:21:28.359000+00:00,1.0
2025-07-07 20:36:24.851000+00:00,0.0
2025-07-07 20:36:25.270000+00:00,0.0
2025-07-07 20:36:33.308000+00:00,0.0
2025-07-07 20:51:25.748000+00:00,1.0
2025-07-07 20:51:27.207000+00:00,1.0
2025-07-07 20:51:34.204000+00:00,1.0
2025-07-07 21:06:26.641000+00:00,0.0
2025-07-07 21:06:28.295000+00:00,0.0
2025-07-07 21:06:36.969000+00:00,0.0
2025-07-07 21:21:27.521000+00:00,1.0
2025-07-07 21:21:28.926000+00:00,1.0
2025-07-07 21:21:39.179000+00:00,1.0
2025-07-07 21:36:28.410000+00:00,1.0
2025-07-07 21:36:29.818000+00:00,1.0
2025-07-07 21:36:40.142000+00:00,1.0
2025-07-07 21:51:29.324000+00:00,1.0
2025-07-07 21:51:30.773000+00:00,1.0
2025-07-07 21:51:41.914000+00:00,1.0
2025-07-07 22:06:25.401000+00:00,1.0
2025-07-07 22:06:29.937000+00:00,1.0
2025-07-07 22:06:40.617000+00:00,1.0
2025-07-07 22:21:23.177000+00:00,1.0
2025-07-07 22:21:26.225000+00:00,1.0
2025-07-07 22:21:36.482000+00:00,1.0
2025-07-07 22:36:22.880000+00:00,0.0
2025-07-07 22:36:23.972000+00:00,0.0
2025-07-07 22:36:37.290000+00:00,0.0
2025-07-07 22:51:23.620000+00:00,0.0
2025-07-07 22:51:25.606000+00:00,0.0
2025-07-07 22:51:38.216000+00:00,0.0
2025-07-07 23:06:24.450000+00:00,1.0
2025-07-07 23:06:26.235000+00:00,1.0
