timestamp,power_value
2025-07-07 13:56:19.673000+00:00,62.0
2025-07-07 13:56:26.087000+00:00,62.0
2025-07-07 14:26:06.448000+00:00,69.0
2025-07-07 14:26:08.429000+00:00,69.0
2025-07-07 14:26:13.068000+00:00,69.0
2025-07-07 14:41:04.761000+00:00,60.0
2025-07-07 14:41:12.798000+00:00,60.0
2025-07-07 14:41:13.145000+00:00,60.0
2025-07-07 14:56:06.497000+00:00,62.0
2025-07-07 14:56:15.687000+00:00,62.0
2025-07-07 15:11:11.473000+00:00,60.0
2025-07-07 15:11:31.475000+00:00,60.0
2025-07-07 15:26:02.422000+00:00,60.0
2025-07-07 15:26:16.803000+00:00,60.0
2025-07-07 15:56:00.760000+00:00,88.0
2025-07-07 16:11:00.296000+00:00,89.0
2025-07-07 16:26:09.059000+00:00,86.0
2025-07-07 16:26:30.176000+00:00,86.0
2025-07-07 16:41:00.183000+00:00,89.0
2025-07-07 16:56:09.445000+00:00,85.0
2025-07-07 16:56:28.971000+00:00,85.0
2025-07-07 17:11:16.605000+00:00,89.0
2025-07-07 17:11:19.208000+00:00,89.0
2025-07-07 17:26:00.456000+00:00,103.0
2025-07-07 17:26:11.978000+00:00,103.0
2025-07-07 17:41:01.873000+00:00,104.0
2025-07-07 17:41:22.353000+00:00,104.0
2025-07-07 17:56:12.386000+00:00,35.0
2025-07-07 17:56:23.602000+00:00,35.0
2025-07-07 18:26:00.154000+00:00,17.0
2025-07-07 18:26:13.768000+00:00,17.0
2025-07-07 18:41:00.327000+00:00,18.0
2025-07-07 18:41:03.403000+00:00,18.0
2025-07-07 18:56:00.172000+00:00,17.0
2025-07-07 18:56:27.942000+00:00,17.0
2025-07-07 19:11:05.457000+00:00,17.0
2025-07-07 19:11:07.631000+00:00,17.0
2025-07-07 19:11:21.817000+00:00,17.0
2025-07-07 19:26:09.433000+00:00,17.0
2025-07-07 19:26:19.358000+00:00,17.0
2025-07-07 19:26:29.779000+00:00,17.0
2025-07-07 19:40:59.859000+00:00,19.0
2025-07-07 19:41:00.523000+00:00,19.0
2025-07-07 19:41:28.976000+00:00,19.0
2025-07-07 19:55:59.847000+00:00,17.0
2025-07-07 19:56:01.751000+00:00,17.0
2025-07-07 19:56:08.147000+00:00,17.0
2025-07-07 20:11:02.831000+00:00,17.0
2025-07-07 20:11:09.021000+00:00,17.0
2025-07-07 20:11:10.887000+00:00,17.0
2025-07-07 20:26:10.086000+00:00,20.0
2025-07-07 20:26:12.005000+00:00,20.0
2025-07-07 20:26:19.327000+00:00,20.0
2025-07-07 21:26:15.956000+00:00,22.0
2025-07-07 21:26:18.618000+00:00,22.0
2025-07-07 21:26:27.877000+00:00,22.0
2025-07-07 21:41:16.854000+00:00,16.0
2025-07-07 21:41:19.690000+00:00,16.0
