timestamp,window_size,volatility,jump_rate,is_stable,cosine_similarity,correlation_coefficient,prediction_accuracy,consistency_score,false_positive_rate,false_negative_rate,delayed_decision_rate,total_error_rate,stability_score,overall_score,priority,performance
2025-05-12 14:45:00+00:00,2,0.003575988355261628,0.0,True,0.7039799251728175,1.0,0.9010506295813973,0.8683435182514049,0.0,1.0,0.0,1.0,0.9964240116447384,0.6462646107939835,HIGH,GOOD
2025-05-12 16:45:00+00:00,2,0.021204687804252553,0.0,True,0.7310341019464914,-1.0,0.963619629095227,0.8982179103472395,0.0,1.0,0.0,1.0,0.9787953121957474,0.6529257577976201,HIGH,GOOD
2025-05-12 19:30:00+00:00,2,0.014139575840757423,0.0,True,0.7191096703344475,1.0,0.9589438819584015,0.8926845174309497,0.0,0.0,0.0,0.0,0.9858604241592426,0.9528319342201528,LOW,EXCELLENT
2025-05-12 21:15:00+00:00,2,0.0615928980476258,0.0,True,0.7588802255123503,-1.0,0.9374352757360992,0.8987718337494832,0.0,0.0,0.0,0.0,0.9384071019523742,0.9410308640855056,LOW,EXCELLENT
2025-05-13 18:30:00+00:00,2,0.09261820474096882,1.0,False,0.7920077120863629,-1.0,0.8923551535000692,0.894787621862144,0.0,0.5,0.0,0.5,0.9073817952590312,0.780129587322567,HIGH,GOOD
2025-05-13 19:15:00+00:00,2,0.036148830579716296,0.0,True,0.7393995678598095,-1.0,0.8967647718855702,0.8787214465817933,0.0,0.0,0.0,0.0,0.9638511694202837,0.9406439294588025,LOW,EXCELLENT
2025-05-13 23:15:00+00:00,2,0.018209318988015477,0.0,True,0.6908689313411187,1.0,0.9309955034559017,0.8739548115990067,0.0,0.0,0.0,0.0,0.9817906810119845,0.944119128943198,LOW,EXCELLENT
2025-05-14 02:30:00+00:00,2,0.029250061809581562,0.0,True,0.6826770732479027,1.0,0.949604459727666,0.877427177658523,0.0,0.0,0.0,0.0,0.9707499381904184,0.9421958525205347,LOW,EXCELLENT
2025-05-14 07:30:00+00:00,2,0.015541675479162409,1.0,False,0.6920498363102296,1.0,0.9231403531709289,0.8717300631603861,0.0,0.0,0.5,0.0,0.9844583245208376,0.9440295226204058,HIGH,EXCELLENT
2025-05-14 10:30:00+00:00,2,0.00012886736894540674,0.0,True,0.7072475942545541,-1.0,0.9183320078820794,0.8751932007122112,0.0,1.0,0.0,1.0,0.9998711326310545,0.6500386200742008,HIGH,GOOD
2025-05-14 20:00:00+00:00,2,0.013256265409741563,0.0,True,0.719504226156324,1.0,0.8452606677490325,0.8549216313017856,0.0,0.0,0.0,0.0,0.9867437345902584,0.9379917728977918,LOW,EXCELLENT
2025-05-14 20:45:00+00:00,2,0.029328346640960956,0.0,True,0.6804512731850858,1.0,0.801193698010113,0.8272149903983995,0.0,0.0,0.0,0.0,0.970671653359039,0.9220874921670716,LOW,EXCELLENT
2025-05-14 23:00:00+00:00,2,0.06361060194669421,0.0,True,0.6521761657409704,-1.0,0.8852817538053624,0.8458193065154442,0.0,0.0,0.0,0.0,0.9363893980533058,0.9192445420221695,LOW,EXCELLENT
2025-05-15 06:30:00+00:00,2,0.04084859865115298,1.0,False,0.6720333645807697,-1.0,0.884773245378257,0.8522688699863422,0.0,0.0,0.5,0.0,0.959151401348847,0.9286529683991911,HIGH,EXCELLENT
2025-05-15 07:15:00+00:00,2,0.002453234851418684,1.0,False,0.7092607799582015,1.0,0.9309689185247747,0.8800765661609921,0.0,0.0,0.5,0.0,0.9975467651485813,0.9512946560089712,HIGH,EXCELLENT
2025-05-15 13:30:00+00:00,2,0.0014794928682860808,0.0,True,0.7055044562745604,1.0,0.9769148318121513,0.8941397626955706,0.0,1.0,0.0,1.0,0.9985205071317139,0.6572120572177425,HIGH,GOOD
2025-05-15 18:15:00+00:00,2,0.09521091980845686,1.0,False,0.7938900464597699,-1.0,0.9653680690337489,0.9197527051645062,0.0,0.5,0.0,0.5,0.9047890801915431,0.7893378061232655,HIGH,GOOD
2025-05-15 23:00:00+00:00,2,0.024840951100507325,0.0,True,0.7266481348874432,1.0,0.8454800966268068,0.8573760771714166,0.0,0.0,0.0,0.0,0.9751590488994927,0.9354981455384146,LOW,EXCELLENT
2025-05-16 03:30:00+00:00,2,0.04096047436477157,0.0,True,0.6729848340737675,1.0,0.9348867012731025,0.8692905117822899,0.0,0.0,0.0,0.0,0.9590395256352284,0.9354280624034845,LOW,EXCELLENT
2025-05-16 06:45:00+00:00,2,0.04328005812202951,0.0,True,0.6672755811373972,-1.0,0.9398015260486673,0.8690257023953548,0.0,0.0,0.0,0.0,0.9567199418779705,0.934626263521533,LOW,EXCELLENT
2025-05-16 10:00:00+00:00,2,0.04354834228847426,0.0,True,0.7502134406892311,1.0,0.9838196340204058,0.9113443582365456,0.0,1.0,0.0,1.0,0.9564516577115257,0.6514732406080759,HIGH,GOOD
2025-05-16 11:30:00+00:00,2,0.011846388852522982,0.0,True,0.6942713255088014,1.0,0.9875124930668497,0.893927939525217,0.0,1.0,0.0,1.0,0.988153611147477,0.6540172591543298,HIGH,GOOD
2025-05-16 14:30:00+00:00,2,0.13709402626493095,1.0,False,0.8174772646798627,1.0,0.9319289477623037,0.9164687374807222,0.0,0.5,0.0,0.5,0.862905973735069,0.7754592871128096,HIGH,GOOD
2025-05-16 15:15:00+00:00,2,0.10325869703249457,0.0,True,0.7894680889791555,-1.0,0.9373516230054943,0.9089399039948832,0.0,0.0,0.0,0.0,0.8967413029675054,0.9325983524882049,LOW,EXCELLENT
