timestamp,end_timestamp,duration_minutes,original_power,controlled_power,power_reduction,reduction_percentage,decision,original_decision,activity_score,habit_score,confidence_score,filter_applied,filter_reason
2025-05-16 16:00:00+00:00,2025-05-16 16:30:00+00:00,30.0,18.2,17.836,0.36400000000000077,2.000000000000004,keep_on,keep_on,0.4312772723914382,0.5161373391281321,0.706770850040387,False,濾波完成
2025-05-16 17:15:00+00:00,2025-05-17 09:00:00+00:00,945.0,17.051666666666666,0.0,17.051666666666666,100.0,send_notification,send_notification,0.10966193226550748,0.426745784017186,0.737467080424166,True,時間感知休眠檢測(75.0分鐘)
2025-05-17 09:15:00+00:00,2025-05-17 11:45:00+00:00,150.0,21.200000000000003,0.0,21.200000000000003,100.0,send_notification,send_notification,0.3589332061408788,0.5163156287857065,0.4671342309668712,False,濾波完成
2025-05-17 12:00:00+00:00,2025-05-17 13:15:00+00:00,75.0,19.925,19.5265,0.3985000000000021,2.0000000000000107,keep_on,keep_on,0.41491671301587674,0.47869397110066464,0.6629372964347408,False,濾波完成
2025-05-17 13:45:00+00:00,2025-05-18 09:30:00+00:00,1185.0,17.219672131147544,0.0,17.219672131147544,100.0,suggest_shutdown,send_notification,0.5276249512413617,0.4752982122173741,0.6372899076073867,True,時間感知休眠檢測(105.0分鐘)
2025-05-18 09:45:00+00:00,2025-05-18 10:00:00+00:00,15.0,31.5,10.600627923236228,20.899372076763772,66.34721294210722,delay_decision,keep_on,0.9064427398722746,0.5166066119436915,0.40860669030929425,True,功率不穩定
2025-05-18 10:45:00+00:00,2025-05-18 12:45:00+00:00,120.0,18.2625,0.0,18.2625,100.0,suggest_shutdown,keep_on,0.9286483357855739,0.5204562859054018,0.6662789359157922,True,休眠模式中的功率震盪
2025-05-18 13:00:00+00:00,2025-05-18 13:30:00+00:00,30.0,22.25,10.546416797075779,11.703583202924221,52.600373945726844,delay_decision,keep_on,0.7060927529585541,0.49505262146731355,0.5858496821762298,True,功率不穩定
2025-05-18 13:45:00+00:00,2025-05-18 14:15:00+00:00,30.0,28.799999999999997,13.351167691450387,15.44883230854961,53.641778849130596,delay_decision,keep_on,0.8291476262301614,0.4752982122173741,0.6372899076073867,True,功率不穩定
2025-05-18 14:45:00+00:00,2025-05-18 15:15:00+00:00,30.0,29.35,11.552956938535106,17.797043061464898,60.63728470686507,delay_decision,keep_on,0.8568327432293424,0.5173551176709832,0.5147087780036177,True,功率不穩定
2025-05-18 15:30:00+00:00,2025-05-18 17:45:00+00:00,135.0,19.37777777777778,0.0,19.37777777777778,100.0,suggest_shutdown,suggest_shutdown,0.18086173805617692,0.5354104001310327,0.2869271598041765,True,休眠模式中的功率震盪
2025-05-18 18:30:00+00:00,2025-05-19 08:45:00+00:00,855.0,17.65818181818182,0.0,17.65818181818182,100.0,suggest_shutdown,suggest_shutdown,0.2774351594468222,0.2955303798939517,0.1,True,時間感知休眠檢測(180.0分鐘)
